Sample,number_of_cells,Spike.in,Final_RNA_conc_ng_ul,X260_280,X260_230,Vol_ul,yield_RNA_ug,Yield_RNA_cell,RNA_extraction_date,Cells_collection_date
iPS total,3e+06,0.6ug/ul,375,1.9,2.1,40,15,5e-06,Jun 06-2022,May 05-2022
iPS Nuc,6e+06,0.6ug/ul,70,2,0.9,60,4.2,7e-07,Jun 03-2022,May 05-2022
iPS Cyto,6e+06,0.6ug/ul,623,2.1,1.9,60,37.38,6.23e-06,Jun 03-2022,May 05-2022
NPC total,8e+06,1ug/ul,443,1.8,2.3,40,17.72,2.22e-06,Jun 06-2022,May 11-2022
NPC Nuc,1e+07,1ug/ul,75,1.9,1.5,60,4.5,4.5e-07,Jun 03-2022,May 11-2022
NPC Cyto,1e+07,1ug/ul,726,2.1,2,60,43.56,4.36e-06,Jun 03-2022,May 11-2022
Neu total,8e+06,1ug/ul,218,1.8,2.5,40,8.72,1.09e-06,Jun 06-2022,May 11-2022
Neu Nuc,1e+07,1ug/ul,137,2,2,60,8.22,8.22e-07,Jun 02-2022,May 11-2022
Neu Cyto,1e+07,1ug/ul,279,2.1,2,60,16.74,1.67e-06,Jun 02-2022,May 11-2022
iPS total,3e+06,0.6ug/ul,400,1.8,2,40,16,5.33e-06,Jun 06-2022,Apr 28-2022
iPS Nuc,6e+06,0.6ug/ul,62,2,0.9,60,3.72,6.2e-07,Jun 03-2022,Apr 28-2022
iPS Cyto,6e+06,0.6ug/ul,652,2.1,1.9,60,39.12,6.52e-06,Jun 03-2022,Apr 28-2022
NPC total,8e+06,1ug/ul,420,1.8,2.3,40,16.8,2.1e-06,Jun 06-2022,Apr 28-2022
NPC Nuc,1e+07,1ug/ul,70,1.9,1.5,60,4.2,4.2e-07,Jun 03-2022,Apr 28-2022
NPC Cyto,1e+07,1ug/ul,766,2.1,2,60,45.96,4.6e-06,Jun 03-2022,Apr 28-2022
Neu total,8e+06,1ug/ul,198,1.8,2.5,40,7.92,9.9e-07,Jun 06-2022,Apr 28-2022
Neu Nuc,1e+07,1ug/ul,150,2,2,60,9,9e-07,Jun 02-2022,Apr 28-2022
Neu Cyto,1e+07,1ug/ul,300,2.1,2,60,18,1.8e-06,Jun 02-2022,Apr 28-2022
iPS total,3e+06,0.6ug/ul,315,1.8,2,40,12.6,4.2e-06,Jun 06-2022,Apr 21-2022
iPS Nuc,6e+06,0.6ug/ul,92,2,0.9,60,5.52,9.2e-07,Jun 03-2022,Apr 21-2022
iPS Cyto,6e+06,0.6ug/ul,505,2.1,1.9,60,30.3,5.05e-06,Jun 03-2022,Apr 21-2022
NPC total,8e+06,1ug/ul,370,1.8,2.3,40,14.8,1.85e-06,Jun 06-2022,Apr 21-2022
NPC Nuc,1e+07,1ug/ul,102,1.9,1.5,60,6.12,6.12e-07,Jun 03-2022,Apr 21-2022
NPC Cyto,1e+07,1ug/ul,632,2.1,2,60,37.92,3.79e-06,Jun 03-2022,Apr 21-2022
Neu total,8e+06,1ug/ul,250,1.8,2.5,40,10,1.25e-06,Jun 06-2022,Apr 21-2022
Neu Nuc,1e+07,1ug/ul,198,2,2,60,11.88,1.19e-06,Jun 02-2022,Apr 21-2022
Neu Cyto,1e+07,1ug/ul,340,2.1,2,60,20.4,2.04e-06,Jun 02-2022,Apr 21-2022
